store_id,address,city,state,zipcode,longitude,latitude,timezone
1234,09 Judy Trail,Memphis,TN,38161,-89.9715,35.2017,America/Chicago
1235,61033 Stoughton Road,Sarasota,FL,34238,-82.4751,27.2427,America/New_York
1236,7 Vermont Junction,Jefferson City,MO,65110,-92.2493,38.5309,America/Chicago
1237,2293 Butternut Street,Torrance,CA,90510,-118.2987,33.7866,America/Los_Angeles
1238,714 Dwight Way,Garland,TX,75044,-96.6654,32.9522,America/Chicago
1239,6 Burning Wood Place,Minneapolis,MN,55441,-93.4193,45.0058,America/Chicago
1240,538 Sachs Terrace,San Antonio,TX,78260,-98.4759,29.7026,America/Chicago
1241,9497 Del Sol Street,Spokane,WA,99215,-117.4317,47.6536,America/Los_Angeles
1242,420 Drewry Crossing,Harrisburg,PA,17126,-76.88,40.2618,America/New_York
1243,562 Eagan Point,Watertown,MA,02472,-71.1773,42.37,America/New_York
1244,21588 Sage Road,Tacoma,WA,98417,-122.4822,47.2061,America/Los_Angeles
1245,200 Kim Alley,Orlando,FL,32813,-81.3258,28.5679,America/New_York
1246,32 Nevada Point,Modesto,CA,95397,-121.0191,37.6566,America/Los_Angeles
1247,46674 Walton Hill,Alexandria,LA,71307,-92.5269,31.2034,America/Chicago
1248,8 Northwestern Street,Albuquerque,NM,87140,-106.6729,35.0443,America/Denver
1249,5 Florence Terrace,Fresno,CA,93726,-119.7604,36.7949,America/Los_Angeles
1250,8433 Kropf Parkway,Honolulu,HI,96825,-157.6985,21.2987,Pacific/Honolulu
1251,37 Montana Crossing,Fort Pierce,FL,34981,-80.3623,27.4049,America/New_York
1252,87 Ohio Pass,Hampton,VA,23668,-76.3377,37.0206,America/New_York
1253,1 Kinsman Street,Duluth,GA,30195,-84.1532,34.0047,America/New_York
1254,5968 Mendota Terrace,Washington,DC,20260,-77.0146,38.8933,America/New_York
1255,34 Summer Ridge Way,South Bend,IN,46634,-86.293,41.5968,America/Indiana/Indianapolis
1256,27 Southridge Park,Chicago,IL,60663,-87.6873,41.8119,America/Chicago
1257,79 Waubesa Park,Vancouver,WA,98687,-122.5203,45.8016,America/Los_Angeles
1258,5 Green Terrace,Pittsburgh,PA,15286,-80.0248,40.4344,America/New_York
1259,25 Mcbride Lane,Tulsa,OK,74133,-95.8841,36.0467,America/Chicago
1260,4 Starling Point,Grand Rapids,MI,49560,-85.5503,43.0314,America/Detroit
1261,14 Forest Dale Way,Salinas,CA,93907,-121.6703,36.7563,America/Los_Angeles
1262,9338 Roth Avenue,Cincinnati,OH,45254,-84.5382,39.1668,America/New_York
1263,18255 2nd Drive,New York City,NY,10184,-73.9772,40.7808,America/New_York
1264,82469 Starling Center,Valley Forge,PA,19495,-75.7481,39.9832,America/New_York
1265,1383 Lotheville Avenue,Bronx,NY,10454,-73.9198,40.8085,America/New_York
1266,184 Acker Trail,Raleigh,NC,27658,-78.6253,35.7977,America/New_York
1267,6 Orin Park,Philadelphia,PA,19160,-75.1179,40.0018,America/New_York
1268,642 Eggendart Point,Panama City,FL,32412,-85.692,30.2345,America/Chicago
1269,90 Mallory Point,Philadelphia,PA,19109,-75.1637,39.9496,America/New_York
1270,50545 Grasskamp Street,Denver,CO,80204,-105.0259,39.734,America/Denver
1271,1 Bayside Circle,Portland,OR,97206,-122.5973,45.484,America/Los_Angeles
1272,9 Spohn Hill,Boulder,CO,80310,-105.3735,40.0878,America/Denver
1273,8329 Manitowish Pass,Greensboro,NC,27425,-80.0244,36.0807,America/New_York
1274,97 Esker Alley,Salt Lake City,UT,84199,-111.9394,40.7259,America/Denver
1275,03129 Northland Pass,Greensboro,NC,27415,-80.0244,36.0807,America/New_York
1276,380 Tennyson Hill,Toledo,OH,43605,-83.5085,41.6525,America/New_York
1277,9 Golf Course Way,Houston,TX,77228,-95.4342,29.834,America/Chicago
1278,6 Alpine Parkway,Dallas,TX,75367,-96.7776,32.7673,America/Chicago
1279,056 Brentwood Plaza,Sacramento,CA,95828,-121.4006,38.4826,America/Los_Angeles
1280,61 Bobwhite Way,Richmond,VA,23293,-77.4932,37.5242,America/New_York
1281,9825 Weeping Birch Drive,Fort Myers,FL,33913,-81.7065,26.5228,America/New_York
1282,75 Lakewood Junction,San Antonio,TX,78220,-98.4128,29.4106,America/Chicago
1283,32764 Morningstar Pass,Miami,FL,33164,-80.4582,25.5584,America/New_York
1284,324 New Castle Way,Brooklyn,NY,11247,-73.945,40.6451,America/New_York
1285,9 Vernon Crossing,Garland,TX,75044,-96.6654,32.9522,America/Chicago
1286,63 Debs Point,Clearwater,FL,34615,-82.7813,27.9843,America/New_York
1287,08 Corry Drive,Henderson,NV,89074,-115.0857,36.0384,America/Los_Angeles
1288,58 Kinsman Junction,Minneapolis,MN,55441,-93.4193,45.0058,America/Chicago
1289,767 Warbler Court,Brooklyn,NY,11215,-73.9828,40.6669,America/New_York
1290,98080 Mesta Trail,Carson City,NV,89714,-119.7764,39.1678,America/Los_Angeles
1291,15235 Westport Avenue,San Jose,CA,95123,-121.8306,37.2458,America/Los_Angeles
1292,6604 Nancy Circle,Mc Keesport,PA,15134,-80.0248,40.4344,America/New_York
1293,9 Hanson Terrace,North Little Rock,AR,72199,-92.2847,34.8272,America/Chicago
1294,3 Grasskamp Pass,San Diego,CA,92170,-116.846,33.0169,America/Los_Angeles
1295,5286 Holmberg Junction,Albany,NY,12232,-73.9708,42.6149,America/New_York
1296,8543 Dryden Court,Columbia,MO,65211,-92.1022,38.9033,America/Chicago
1297,6779 Sunbrook Place,El Paso,TX,88519,-106.3,31.6948,America/Denver
1298,603 Talisman Hill,Lynchburg,VA,24503,-79.205,37.4376,America/New_York
1299,8004 La Follette Place,Ogden,UT,84409,-111.9567,41.2553,America/Denver
1300,8 Sage Avenue,Nashville,TN,37235,-86.7852,36.1866,America/Chicago
1301,93 Burning Wood Trail,Metairie,LA,70005,-90.1331,30.0005,America/Chicago
1302,7 Basil Point,Concord,CA,94522,-121.9554,37.7772,America/Los_Angeles
1303,12160 Ridge Oak Park,Charleston,WV,25389,-81.6394,38.354,America/New_York
1304,5 Sutteridge Place,San Francisco,CA,94105,-122.3892,37.7864,America/Los_Angeles
1305,701 Hoffman Plaza,Bradenton,FL,34282,-82.4387,27.4272,America/New_York
1306,60 Mesta Place,Bridgeport,CT,06673,-73.3637,41.3089,America/New_York
1307,9442 Goodland Crossing,Tampa,FL,33620,-82.4079,28.06,America/New_York
1308,724 Crowley Point,Salt Lake City,UT,84120,-112.0001,40.695,America/Denver
1309,284 Walton Street,Rochester,NY,14646,-77.6843,43.286,America/New_York
1310,6 Rusk Parkway,Columbia,MO,65218,-92.1022,38.9033,America/Chicago
1311,7 Duke Road,San Francisco,CA,94154,-122.7278,37.7848,America/Los_Angeles
1312,1784 Fuller Crossing,Trenton,NJ,08619,-74.6962,40.2418,America/New_York
1313,11546 Lindbergh Terrace,Norwalk,CT,06859,-73.3637,41.3089,America/New_York
1314,7482 Esker Lane,Greenville,SC,29605,-82.3932,34.8001,America/New_York
1315,9112 Lukken Hill,Charleston,WV,25313,-81.7582,38.4142,America/New_York
1316,75030 Service Hill,Raleigh,NC,27635,-78.6253,35.7977,America/New_York
1317,6799 Donald Street,Watertown,MA,02472,-71.1773,42.37,America/New_York
1318,562 Mallory Plaza,Santa Cruz,CA,95064,-122.0578,36.9959,America/Los_Angeles
1319,158 Sauthoff Center,Philadelphia,PA,19093,-75.1179,40.0018,America/New_York
1320,4 Novick Avenue,Austin,TX,78726,-97.8326,30.43,America/Chicago
1321,2 Commercial Parkway,Cheyenne,WY,82007,-104.8107,41.1084,America/Denver
1322,11006 American Alley,Mesquite,TX,75185,-96.5618,32.7403,America/Chicago
