"CATEGORY_CODE","ITEM_ID","ITEM_PRICE","ITEM_UPC","REPL_QTY","_FREQUENCY"
"20460","12345","7.71","13054893038","18","2"
"20100","12346","1.92","18478821184","1","2"
"20160","12347","10.96","17636724985","24","2"
"20100","12348","1.65","10741536902","12","1"
"20100","12349","2.07","11385725443","1","2"
"20370","12350","183.95","13361923075","24","2"
"20100","12351","2.08","10591392763","1","1"
"20100","12352","1.81","15226342082","18","3"
"20150","12353","5.89","14027562099","24","2"
"20600","12354","5.54","17108455454","1","4"
"20100","12355","2.38","19437908968","18","1"
"20100","12356","2.14","14006625357","24","1"
"20100","12357","1.95","14290496501","1","1"
"20100","12358","2.29","12121490700","24","1"
"20100","12359","1.81","13844666566","24","4"
"20140","12360","9.79","18989309382","18","3"
"20100","12361","1.59","10553696288","24","1"
"20180","12362","4.46","16664082657","24","2"
"20100","12363","1.92","11887339246","24","2"
"20100","12364","1.89","10216067860","1","2"
"20100","12365","1.89","13302939526","12","4"
"20640","12366","5.43","11950659504","1","1"
"20100","12367","1.97","12642187069","18","1"
"20100","12368","2.18","15404436034","24","1"
"20100","12369","1.89","13786544618","1","3"
"20100","12370","1.9","10901328341","24","1"
"20100","12371","1.77","14981503237","12","2"
"20600","12372","5.51","18642541144","1","1"
"20100","12373","1.66","14842945104","24","3"
"20100","12374","1.74","15563026979","18","1"
"20100","12375","1.97","18947197331","1","1"
"20180","12376","3.91","15401941672","18","2"
"20200","12377","16.66","15276991398","12","2"
"20140","12378","11.07","11554766638","18","2"
"20100","12379","2.07","10069236835","1","3"
"20100","12380","2.2","14543893792","24","2"
"20100","12381","1.9","12892978812","18","1"
"20160","12382","12.98","15516502992","1","1"
"20460","12383","9.02","11144958314","12","1"
"20100","12384","2.1","11663663950","1","1"
"20100","12385","2.01","10119321778","1","1"
"20100","12386","2.45","18781896040","12","4"
"20100","12387","2.04","13473216384","24","3"
"20100","12388","2.1","13891208776","1","1"
"20100","12389","2.08","18411104473","12","1"
"20100","12390","2.28","10983557074","1","1"
"20100","12391","2.14","14128411910","24","1"
"20100","12392","1.82","10544392624","1","1"
"20100","12393","1.97","10941414986","1","1"
"20100","12394","2.1","11558880787","24","2"
"20100","12395","1.98","18633195811","24","1"
"20160","12396","12.03","17504746980","12","2"
"20160","12397","11.82","14911822677","12","1"
"20160","12398","12.83","12767822728","1","1"
"20100","12399","1.59","17551825704","12","3"
"20100","12400","2.22","15208164804","24","2"
"20100","12401","1.93","19573822463","12","4"
"20100","12402","2.29","10523945566","24","2"
"20460","12403","8.23","13247883003","18","1"
"20100","12404","2.33","18987164014","18","1"
"20100","12405","2.43","17059197879","24","1"
"20100","12406","1.94","12591745789","12","3"
"20100","12407","2.47","15909739152","18","1"
"20100","12408","1.93","15743804066","12","1"
"20160","12409","13.38","12422037407","18","1"
"20190","12410","3.82","17756386736","1","1"
"20100","12411","2.02","10053842946","1","1"
"20100","12412","1.97","17000574778","24","2"
"20100","12413","1.97","19299709502","12","2"
"20100","12414","2.03","16470097458","1","3"
"20100","12415","1.72","16503994276","1","2"
"20100","12416","1.94","12996273947","1","1"
"20100","12417","1.64","11281663726","1","3"
"20100","12418","2.14","18060948646","24","3"
"20100","12419","2.18","18424116514","1","1"
"20150","12420","5.54","13120587812","24","2"
"20100","12421","1.72","19478841243","18","4"
"20100","12422","1.84","13163472383","24","2"
"20180","12423","4.45","12855431517","12","2"
"20160","12424","13.73","16274891335","24","3"
"20100","12425","2.22","12582609902","12","4"
"20160","12426","11.89","11382668788","12","1"
"20100","12427","2.03","10468933479","18","1"
"20380","12428","6.7","12946975679","24","2"
"20100","12429","1.97","15458807847","24","3"
"20100","12430","2.04","16802936597","24","1"
"20100","12431","2.3","18513815392","1","2"
"20160","12432","9.3","11831200180","12","2"
"20100","12433","1.75","17627304205","24","1"
"20160","12434","9.85","15892927535","24","4"
"20100","12435","2.17","18873669299","12","3"
"20730","12436","4.81","17901706243","12","1"
"20100","12437","2.2","18551651321","1","1"
"20100","12438","2.03","16450803166","12","1"
"20140","12439","7.91","16436234665","18","1"
"20640","12440","4.22","15691245204","24","1"
"20100","12441","2.01","10503046102","24","2"
"20600","12442","5.14","18362150372","18","4"
"20100","12443","2.13","14906575233","1","2"
"20100","12444","1.9","16543083905","1","3"
"20100","12445","1.92","10146411605","18","1"
"20140","12446","10.16","18599074626","24","4"
"20100","12447","1.65","15629338220","24","3"
"20100","12448","1.9","15490791430","24","2"
