store_id,address,city,state,zipcode,longitude,latitude,timezone
1101,7 Manufacturers Court,Hayward,CA,94544,-122.067,37.6374,America/Los_Angeles
1109,1349 Blaine Point,Wichita Falls,TX,76305,-98.3938,33.9995,America/Chicago
1117,4 Dapin Terrace,Louisville,KY,40210,-85.7905,38.2306,America/Kentucky/Louisville
1125,3 Forest Run Road,El Paso,TX,88514,-106.3,31.6948,America/Denver
1133,8 Larry Alley,Amarillo,TX,79171,-101.8951,35.4015,America/Chicago
1141,2657 Kings Center,Lake Worth,FL,33462,-80.0794,26.5747,America/New_York
1149,36 Chinook Crossing,Roanoke,VA,24040,-79.9579,37.2742,America/New_York
1157,28049 Moose Road,Seattle,WA,98115,-122.2968,47.6849,America/Los_Angeles
1165,214 Union Center,Orlando,FL,32813,-81.3258,28.5679,America/New_York
1173,0495 Stuart Court,Springfield,MA,01105,-72.5783,42.0999,America/New_York
1181,96 Bunting Avenue,Pittsburgh,PA,15215,-79.9138,40.5048,America/New_York
1189,19 Mesta Junction,El Paso,TX,79984,-106.3,31.6948,America/Denver
1197,3559 Fairfield Drive,Miami,FL,33129,-80.2013,25.7559,America/New_York
1205,9616 Warner Lane,Tulsa,OK,74126,-95.9931,36.2383,America/Chicago
1213,66 Carpenter Park,Englewood,CO,80150,-104.4083,39.7388,America/Denver
1221,99643 Mitchell Point,Carol Stream,IL,60158,-88.1208,41.9166,America/Chicago
1229,3 Glacier Hill Way,Charleston,WV,25362,-81.5547,38.2968,America/New_York
1237,89572 Fuller Avenue,Garden Grove,CA,92645,-118.0256,33.783,America/Los_Angeles
1245,678 Steensland Crossing,Johnson City,TN,37605,-82.3838,36.3158,America/New_York
1253,95923 Monument Lane,Birmingham,AL,35295,-86.9292,33.5446,America/Chicago
1261,149 Monterey Lane,Cheyenne,WY,82007,-104.8107,41.1084,America/Denver
1269,512 Starling Alley,Birmingham,AL,35231,-86.9292,33.5446,America/Chicago
1277,658 Coleman Plaza,Falls Church,VA,22047,-77.2888,38.8318,America/New_York
1285,32740 Waxwing Drive,Sacramento,CA,95813,-121.4475,38.6026,America/Los_Angeles
1293,2681 Meadow Valley Road,Rochester,MN,55905,-92.4668,44.0225,America/Chicago
1301,54 Bartelt Terrace,Saint Paul,MN,55172,-93.1059,45.0059,America/Chicago
1309,0205 Dexter Circle,Jamaica,NY,11436,-73.7966,40.6763,America/New_York
1317,8 Linden Pass,Houston,TX,77025,-95.4341,29.6889,America/Chicago
1325,5814 Onsgard Plaza,Philadelphia,PA,19146,-75.1794,39.9379,America/New_York
1333,623 Dapin Lane,Savannah,GA,31405,-81.1242,32.0391,America/New_York
1341,0 Mitchell Center,Milwaukee,WI,53215,-87.9429,43.006,America/Chicago
1349,1078 Duke Terrace,Baltimore,MD,21216,-76.6699,39.3093,America/New_York
1357,76 Portage Park,Sioux Falls,SD,57105,-96.7341,43.524,America/Chicago
1365,18 Maryland Hill,Flint,MI,48555,-83.7108,43.0113,America/Detroit
1373,895 Kennedy Parkway,Los Angeles,CA,90050,-118.2987,33.7866,America/Los_Angeles
1381,668 Portage Place,Kansas City,MO,64190,-94.8516,39.3432,America/Chicago
1389,4630 Marcy Circle,Evanston,IL,60208,-87.6845,42.0586,America/Chicago
1397,58 Jenifer Lane,Fort Lauderdale,FL,33315,-80.1541,26.0989,America/New_York
1405,19769 Pine View Court,Jamaica,NY,11480,-73.8061,40.6914,America/New_York
1413,7034 Sutteridge Road,Jackson,MS,39282,-90.3972,32.3113,America/Chicago
1421,3 Victoria Alley,Punta Gorda,FL,33982,-81.9545,26.9668,America/New_York
1429,836 Becker Circle,Billings,MT,59112,-108.1945,45.9783,America/Denver
1437,006 Crest Line Place,Augusta,GA,30911,-82.091,33.386,America/New_York
1445,291 Mariners Cove Plaza,San Jose,CA,95108,-121.8908,37.3378,America/Los_Angeles
1453,2436 Bayside Alley,Kissimmee,FL,34745,-81.2593,27.9953,America/New_York
1461,8994 Gale Terrace,Portland,OR,97232,-122.6363,45.5287,America/Los_Angeles
1469,9721 Arrowood Plaza,Bloomington,IN,47405,-86.5186,39.1682,America/Indiana/Indianapolis
